FIPS_STATE,FIPS_PLACE,FIPS_STATE_PLACE,CITY_NAME,ST_NAME,NYU_500_LARGEST,YEAR,POP_TOTAL,PER_AGE_15TO44,PER_AGE_18PLUS,PER_AGE_65PLUS,POP_MALE,POP_FEMALE,POP_WHITE,POP_BLACK,POP_ASIAN,POP_AIAN,POP_NHOPI,POP_NONHISPANIC,POP_HISPANIC
6,60018,660018,Redondo Beach city, California,1,2015,68185,37.9,81.5,12.4,34855,33330,48727,1327,8846,444,112,59327,8858
6,60102,660102,Redwood City city, California,1,2015,85300,42.1,77.5,12.8,42676,42624,48497,1507,12627,170,1101,56289,29011
6,60466,660466,Rialto city, California,1,2015,103137,48,73.9,8.5,49902,53235,73103,10423,3291,693,0,24566,78571
6,60620,660620,Richmond city, California,1,2015,109715,44.8,78.5,12.6,52615,57100,32339,24231,18218,236,257,64583,45132
6,62000,662000,Riverside city, California,1,2015,322423,48.1,76,10.2,160613,161810,209493,19928,20371,2582,1804,161726,160697
17,14000,1714000,Chicago city, Illinois,1,2015,2720556,47.4,78.6,11.6,1320015,1400541,1316927,844768,168744,8982,689,1934831,785725
17,14351,1714351,Cicero town, Illinois,1,2015,83867,50,69.9,6.1,43153,40714,29745,2643,861,680,0,7442,76425
17,18823,1718823,Decatur city, Illinois,1,2015,72856,39.3,79.2,17.8,34646,38210,52496,14727,602,19,0,71147,1709
17,23074,1723074,Elgin city, Illinois,1,2015,111076,41.2,73.1,13,54852,56224,73789,6934,7064,10,0,62855,48221
17,24582,1724582,Evanston city, Illinois,1,2015,75523,43.8,80.5,14,34146,41377,51794,10910,7339,22,0,66448,9075
17,38570,1738570,Joliet city, Illinois,1,2015,150025,44.6,70.2,8.6,70863,79162,101876,26112,1686,42,56,104734,45291
17,51622,1751622,Naperville city, Illinois,1,2015,147159,39.4,73.9,11.1,71365,75794,105589,7974,28852,191,0,142231,4928
17,57225,1757225,Palatine village, Illinois,1,2015,69269,40.6,76.4,12.3,36506,32763,45153,1253,6625,0,0,50643,18626
17,59000,1759000,Peoria city, Illinois,1,2015,118661,42.2,74.8,13.7,56229,62432,71113,31525,5699,149,56,111787,6874
17,65000,1765000,Rockford city, Illinois,1,2015,149346,39.5,75.2,15.3,71076,78270,102639,29239,4779,1074,0,120423,28923
17,68003,1768003,Schaumburg village, Illinois,1,2015,75811,41,76.4,11.9,35971,39840,41629,1610,20443,633,686,63266,12545
17,70122,1770122,Skokie village, Illinois,0,2015,64819,34.9,78.6,20,31382,33437,37834,4816,18129,139,0,58229,6590
17,72000,1772000,Springfield city, Illinois,1,2015,117809,38.8,78.5,16,55639,62170,86966,21381,3349,117,0,115071,2738
17,79293,1779293,Waukegan city, Illinois,1,2015,88347,43.8,72.1,9.5,45514,42833,63475,10060,4247,129,8,34133,54214
18,5860,1805860,Bloomington city, Indiana,1,2015,83815,69,88.6,9.6,40588,43227,68032,3518,8561,143,0,80172,3643
18,10342,1810342,Carmel city, Indiana,1,2015,89029,36.5,72.6,10.8,42928,46101,-998,-998,-998,-998,-998,85918,3111
18,22000,1822000,Evansville city, Indiana,1,2015,117679,41.2,79.9,16.6,57198,60481,96413,14893,954,69,0,114416,3263
18,23278,1823278,Fishers town, Indiana,1,2015,86071,40.7,66.6,7.1,42161,43910,70703,5329,5714,0,0,82662,3409
18,25000,1825000,Fort Wayne city, Indiana,1,2015,258144,40.8,74.1,13.6,124815,133329,192349,38066,11179,872,602,236910,21234
18,27000,1827000,Gary city, Indiana,1,2015,77354,36.8,73.7,15.2,35876,41478,11887,59741,352,0,0,71088,6266
18,31000,1831000,Hammond city, Indiana,1,2015,77610,41.8,77.4,12.8,38923,38687,38721,18949,1096,98,0,52290,25320
18,36003,1836003,Indianapolis city (balance), Indiana,1,2015,848423,43,75.2,11.4,410615,437808,534462,236414,25280,2765,0,764997,83426
18,40788,1840788,Lafayette city, Indiana,1,2015,71170,44.9,77.4,13.8,34313,36857,61705,5403,1126,169,0,62019,9151
18,51876,1851876,Muncie city, Indiana,1,2015,69701,51.7,81.1,12.3,32446,37255,-998,-998,-998,-998,-998,67202,2499
18,71000,1871000,South Bend city, Indiana,1,2015,103757,42.5,71.6,11.2,50483,53274,66559,25812,1377,183,161,87295,16462
19,1855,1901855,Ames city, Iowa,0,2015,65052,67.3,86.9,8.4,33814,31238,54595,703,7817,114,0,63028,2024
19,12000,1912000,Cedar Rapids city, Iowa,1,2015,130405,43.9,77.2,13.8,63109,67296,111571,7397,3280,650,40,125077,5328
19,19000,1919000,Davenport city, Iowa,1,2015,102577,41.3,75.6,14.3,50123,52454,84478,10828,2297,274,29,93446,9131
19,21000,1921000,Des Moines city, Iowa,1,2015,210317,44.8,76.8,11.9,103726,106591,161279,22581,13004,2323,182,185011,25306
19,38595,1938595,Iowa City city, Iowa,1,2015,74227,59.7,82.9,9.4,37089,37138,58305,6839,4195,244,406,70155,4072
19,73335,1973335,Sioux City city, Iowa,1,2015,82776,40.5,74.6,13.4,38827,43949,69391,3353,2996,1307,289,67174,15602
19,82425,1982425,Waterloo city, Iowa,1,2015,68457,39.8,77.1,14.5,34488,33969,50068,10996,1511,292,0,63496,4961
20,36000,2036000,Kansas City city, Kansas,1,2015,151261,41,72.4,11,74606,76655,89987,36348,6641,638,23,106919,44342
20,38900,2038900,Lawrence city, Kansas,1,2015,93916,56.9,82.1,9.8,45592,48324,76643,4425,5064,2929,0,87481,6435
20,52575,2052575,Olathe city, Kansas,1,2015,134316,42,69.3,8.7,65046,69270,114787,6686,4841,569,443,118185,16131
20,53775,2053775,Overland Park city, Kansas,1,2015,186511,40.3,77.3,15,93355,93156,156864,8122,15073,424,73,176407,10104
20,64500,2064500,Shawnee city, Kansas,0,2015,65058,40.5,75.8,14.6,32313,32745,53570,5576,2491,0,0,60194,4864
20,71000,2071000,Topeka city, Kansas,1,2015,127257,40.2,76.6,16.6,60879,66378,102787,11283,2360,1520,268,108617,18640
20,79000,2079000,Wichita city, Kansas,1,2015,389955,41.2,74.6,12.8,192354,197601,295195,46253,23902,4628,239,324793,65162
21,46027,2146027,Lexington-Fayette urban county, Kentucky,1,2015,314488,46.6,79,12.1,154032,160456,238806,45159,11090,679,85,292722,21766
21,48006,2148006,Louisville/Jefferson County metro government (balance), Kentucky,1,2015,615389,40.1,77.1,14.4,298451,316938,439547,138480,15346,866,424,586677,28712
22,5000,2205000,Baton Rouge city, Louisiana,1,2015,228596,48.6,78.8,12.4,111492,117104,95463,122019,7007,379,72,221168,7428
22,8920,2208920,Bossier City city, Louisiana,0,2015,68097,44.9,76.3,14,33428,34669,45426,18387,1357,279,0,62508,5589
22,39475,2239475,Kenner city, Louisiana,1,2015,67106,40.3,77.3,14.7,33993,33113,44286,16899,2573,95,0,49337,17769
22,40735,2240735,Lafayette city, Louisiana,1,2015,127661,44.8,77.1,11.6,64018,63643,83446,38741,2390,235,0,121105,6556
22,41155,2241155,Lake Charles city, Louisiana,1,2015,76066,43.5,76.1,14.3,35678,40388,35334,37057,1203,465,0,72909,3157
22,50115,2250115,Metairie CDP, Louisiana,0,2015,146458,38.4,81.6,17.8,69515,76943,121782,16035,3334,86,0,126755,19703
22,55000,2255000,New Orleans city, Louisiana,1,2015,389617,44.3,79.6,12.5,185736,203881,134004,230722,12136,828,120,367767,21850
22,70000,2270000,Shreveport city, Louisiana,1,2015,196994,41.2,74.8,14.1,93138,103856,76882,110852,3637,311,67,191913,5081
23,60545,2360545,Portland city, Maine,1,2015,66872,43.1,85,15.9,31480,35392,56526,5003,1984,46,0,64841,2031
24,4000,2404000,Baltimore city, Maryland,1,2015,621849,44.6,78.9,12.5,294027,327822,193032,382922,16894,952,381,591896,29953
24,19125,2419125,Columbia CDP, Maryland,0,2015,103467,41,75.7,13.2,52202,51265,55228,26879,15372,0,0,95434,8033
24,26000,2426000,Ellicott City CDP, Maryland,0,2015,70932,34.1,76.1,15.1,34406,36526,41814,5483,21126,201,70,69330,1602
24,30325,2430325,Frederick city, Maryland,0,2015,69482,43.2,76.6,12.2,33146,36336,47064,11663,4774,128,0,56417,13065
24,31175,2431175,Gaithersburg city, Maryland,0,2015,67445,43.5,77.5,10.4,32211,35234,34739,11660,12515,86,27,48724,18721
24,32025,2432025,Germantown CDP, Maryland,0,2015,84122,42.7,73,8.1,41115,43007,41269,20159,14972,275,0,65920,18202
24,32650,2432650,Glen Burnie CDP, Maryland,0,2015,69859,40,76.2,13.9,33398,36461,48135,16078,2432,347,0,60722,9137
24,67675,2467675,Rockville city, Maryland,0,2015,66998,41.1,79.3,16.3,31205,35793,38817,6699,14871,157,0,57801,9197
