Fips_State,Fips_Place,Fips_State_Place,City_Name,St_Name,NYU_500_Largest,Year,Pop_Total,Per_15to44_years(%),Per_18_years_and_over(%),Per_65_years_and_over(%),Pop_Male,Pop_Female,Pop_White,Pop_Black,Pop_Asian,Pop_AIAN,Pop_NHOPI,Pop_Nonhispanic,Pop_Hispanic
06,82954,0682954,Visalia city,California,1,1990,75636,46.08,68.89,11.10,36523,39113,56554,1114,4768,737,101,56631,19005
06,82996,0682996,Vista city,California,1,1990,71872,50.69,73.05,12.17,35886,35986,57972,3201,2328,593,525,54068,17804
06,84200,0684200,West Covina city,California,1,1990,96086,49.98,72.39,8.70,47137,48949,57436,8203,16329,485,193,62833,33253
06,84550,0684550,Westminster city,California,1,1990,78118,49.96,74.81,9.38,39584,38534,54396,868,17053,464,559,63222,14896
06,85292,0685292,Whittier city,California,1,1990,77671,47.78,74.32,13.89,37969,39702,57048,992,2428,462,153,47393,30278
08,03455,0803455,Arvada city,Colorado,1,1990,89235,48.60,72.37,7.62,43768,45467,84129,513,1718,475,50,82592,6643
08,04000,0804000,Aurora city,Colorado,1,1990,222103,53.97,72.64,6.77,108041,114062,183046,25394,8102,1426,274,207335,14768
08,07850,0807850,Boulder city,Colorado,1,1990,83312,65.56,84.85,7.84,42065,41247,77090,1048,3152,414,56,79290,4022
08,16000,0816000,Colorado Springs city,Colorado,1,1990,281140,51.23,73.19,9.17,137611,143529,241513,19746,6279,2335,566,255478,25662
08,20000,0820000,Denver city,Colorado,1,1990,467610,49.88,78.00,13.86,227517,240093,337198,60046,10652,5381,353,360228,107382
08,27425,0827425,Fort Collins city,Colorado,1,1990,87758,60.53,77.56,7.73,43512,44246,81877,856,2032,459,66,81561,6197
08,32155,0832155,Greeley city,Colorado,1,1990,60536,52.64,75.30,11.18,29356,31180,53936,408,556,366,51,48209,12327
08,43000,0843000,Lakewood city,Colorado,1,1990,126481,49.02,77.70,10.55,61352,65129,117819,1316,2369,872,66,114975,11506
08,45970,0845970,Longmont city,Colorado,1,1990,51555,48.94,71.47,9.91,25209,26346,47810,197,616,379,16,45840,5715
08,46465,0846465,Loveland city,Colorado,1,1990,37352,45.58,71.13,12.99,18038,19314,35436,111,252,179,14,34825,2527
08,62000,0862000,Pueblo city,Colorado,1,1990,98640,43.07,73.81,15.98,47332,51308,81824,2147,591,822,31,59671,38969
08,77290,0877290,Thornton city,Colorado,1,1990,55031,53.28,67.28,5.33,27029,28002,49357,699,883,501,28,45722,9309
08,83835,0883835,Westminster city,Colorado,1,1990,74625,55.22,70.46,4.75,36682,37943,67643,742,2722,468,33,66055,8570
09,08000,0908000,Bridgeport city,Connecticut,1,1990,141686,47.99,73.89,13.58,67270,74416,82945,37684,3257,405,31,104139,37547
09,18430,0918430,Danbury city,Connecticut,1,1990,65585,51.35,78.19,11.59,32242,33343,56897,4311,2562,132,20,60540,5045
09,37000,0937000,Hartford city,Connecticut,1,1990,139739,52.06,72.53,9.88,66639,73100,55869,54338,1994,450,30,95602,44137
09,50370,0950370,New Britain city,Connecticut,1,1990,75491,48.81,78.89,16.90,36053,39438,61605,5723,1323,130,25,63207,12284
09,52000,0952000,New Haven city,Connecticut,1,1990,130474,53.20,76.29,12.31,61366,69108,70263,47157,3113,402,28,113231,17243
09,55990,0955990,Norwalk city,Connecticut,1,1990,78331,49.54,79.88,12.63,37794,40537,62106,12123,1285,100,5,70992,7339
09,73000,0973000,Stamford city,Connecticut,1,1990,108056,48.45,79.85,13.26,51650,56406,82421,19217,2747,135,64,97494,10562
09,80000,0980000,Waterbury city,Connecticut,1,1990,108961,46.40,76.54,16.45,51508,57453,86681,14133,781,344,6,94383,14578
10,77580,1077580,Wilmington city,Delaware,1,1990,71529,47.26,75.08,14.79,33249,38280,30134,37446,309,156,6,66457,5072
11,50000,1150000,Washington city,District of Columbia,1,1990,606900,52.31,80.71,12.83,282970,323930,179667,399604,10923,1466,291,574190,32710
12,07300,1207300,Boca Raton city,Florida,1,1990,61492,41.75,82.83,21.48,29522,31970,58035,1784,1159,44,8,58054,3438
12,07875,1207875,Boynton Beach city,Florida,1,1990,46194,37.08,81.80,30.30,21575,24619,35912,9296,279,52,11,43070,3124
12,10275,1210275,Cape Coral city,Florida,1,1990,74991,38.45,78.57,22.00,36149,38842,73090,758,462,126,5,72242,2749
12,12875,1212875,Clearwater city,Florida,1,1990,98784,39.08,82.46,25.58,45523,53261,88046,8863,994,240,25,95898,2886
12,14400,1214400,Coral Springs city,Florida,1,1990,79443,51.48,69.04,6.97,38771,40672,73949,2764,1668,142,16,73785,5658
12,16475,1216475,Davie town,Florida,1,1990,47217,51.62,75.10,8.96,23097,24120,43829,1820,811,100,15,42504,4713
12,16725,1216725,Deerfield Beach city,Florida,1,1990,46325,35.25,86.43,36.35,21042,25283,37787,7728,382,49,9,44536,1789
12,17200,1217200,Deltona CDP,Florida,1,1990,50828,41.66,74.57,18.55,24603,26225,47683,1683,340,139,15,45689,5139
12,24000,1224000,Fort Lauderdale city,Florida,1,1990,149377,46.16,81.22,17.78,75312,74065,103980,41995,1256,321,41,138696,10681
12,25175,1225175,Gainesville city,Florida,1,1990,84770,60.89,80.42,9.41,41727,43043,62186,18177,3319,153,24,81038,3732
12,30000,1230000,Hialeah city,Florida,1,1990,188004,42.30,76.68,14.01,89791,98213,169072,3636,995,185,18,23352,164652
12,32000,1232000,Hollywood city,Florida,1,1990,121697,40.19,80.87,23.09,57655,64042,107396,10365,1558,256,53,107267,14430
12,38250,1238250,Lakeland city,Florida,1,1990,70576,40.52,78.73,22.86,32571,38005,55133,14255,618,123,18,68274,2302
12,39425,1239425,Largo city,Florida,1,1990,65674,36.27,85.90,32.39,30144,35530,64113,651,522,127,31,64394,1280
12,39550,1239550,Lauderhill city,Florida,1,1990,49708,44.65,77.79,21.31,23011,26697,29124,19158,734,71,9,46332,3376
12,43975,1243975,Melbourne city,Florida,1,1990,59646,46.58,79.56,16.97,29180,30466,52145,5666,1206,192,18,57571,2075
12,45000,1245000,Miami city,Florida,1,1990,358548,42.49,76.99,16.55,173223,185325,235358,98207,2214,545,58,134584,223964
12,45025,1245025,Miami Beach city,Florida,1,1990,92639,38.64,85.88,30.11,43190,49449,81800,4798,1100,142,24,49297,43342
12,45975,1245975,Miramar city,Florida,1,1990,40663,48.82,73.26,9.68,19608,21055,32243,6368,912,69,22,33615,7048
12,53000,1253000,Orlando city,Florida,1,1990,164693,55.71,79.12,11.39,82861,81832,113243,44303,2460,506,104,150292,14401
12,54000,1254000,Palm Bay city,Florida,1,1990,62632,48.28,72.78,11.39,31182,31450,55902,4689,1074,158,30,59317,3315
12,54200,1254200,Palm Coast CDP,Florida,1,1990,14287,28.24,83.41,31.42,6824,7463,13133,854,189,23,4,13408,879
12,55775,1255775,Pembroke Pines city,Florida,1,1990,65452,44.70,79.70,19.44,30605,34847,59746,3441,1295,103,9,57920,7532
12,57425,1257425,Plantation city,Florida,1,1990,66692,46.52,78.94,14.38,31967,34725,60491,4112,1205,80,14,61262,5430
12,58050,1258050,Pompano Beach city,Florida,1,1990,72411,39.75,82.89,25.24,34829,37582,50666,20625,393,104,22,68533,3878
12,63000,1263000,St. Petersburg city,Florida,1,1990,238629,42.04,80.16,22.19,110824,127805,186125,46726,3886,596,81,232374,6255
12,69700,1269700,Sunrise city,Florida,1,1990,64407,43.50,78.26,23.03,30288,34119,57517,4759,1212,58,35,58842,5565
12,70600,1270600,Tallahassee city,Florida,1,1990,124773,61.49,81.02,8.77,59400,65373,85140,36298,2149,283,40,121035,3738
12,71000,1271000,Tampa city,Florida,1,1990,280015,47.56,76.97,14.62,134380,145635,198542,70131,3670,834,124,238006,42009
12,76600,1276600,West Palm Beach city,Florida,1,1990,67643,46.22,79.14,18.17,32344,35299,42889,22063,589,94,37,58066,9577
13,01052,1301052,Albany city,Georgia,1,1990,78122,46.92,69.16,10.75,36218,41904,34544,42962,325,155,10,77475,647
13,04000,1304000,Atlanta city,Georgia,1,1990,394017,51.69,75.91,11.28,187877,206140,122327,264262,3434,563,64,386492,7525
13,49000,1349000,Macon city,Georgia,1,1990,106612,45.54,73.47,14.56,48282,58330,50265,55645,434,127,10,105955,657
13,67284,1367284,Roswell city,Georgia,1,1990,47923,52.30,74.85,6.87,23493,24430,44162,2327,846,64,5,46638,1285
13,68516,1368516,Sandy Springs CDP,Georgia,1,1990,67842,53.17,81.79,9.78,32016,35826,60797,5152,1093,74,13,65869,1973
