fips_state,fips_place,fips_state_place,city_name,st_name,NYU_500_Largest,Year,census_population,15 to 44 years,18 years and over,65 years and over,pop_male,pop_female,pop_white,pop_black,pop_asian,pop_AIAN,pop_NHOPI,pop_nonhispanic,pop_hispanic
06,33000,0633000,Hayward city,California,1,1990,111498,50.46000000000001,75.16000000000001,10.68,54883,56615,68911,10965,15710,1084,1625,84827,26671
06,33182,0633182,Hemet city,California,1,1990,36094,28.560000000000002,83.17,42.08,16323,19771,32802,244,405,319,20,30711,5383
06,33434,0633434,Hesperia city,California,1,1990,50418,44.58,66.93,11.34,25133,25285,43191,1249,579,464,133,40845,9573
06,36000,0636000,Huntington Beach city,California,1,1990,181519,54.010000000000005,79.03,8.309999999999999,91714,89805,156314,1687,14501,1157,547,161122,20397
06,36448,0636448,Indio city,California,1,1990,36793,49.15,66.09,8.08,18651,18142,20045,1482,569,281,19,11725,25068
06,36546,0636546,Inglewood city,California,1,1990,109602,52.55,69.89,6.84,53145,56457,19073,56861,2212,427,542,67353,42249
06,36770,0636770,Irvine city,California,1,1990,110330,56.69,75.62,5.76,53430,56900,85945,2002,19787,259,183,103428,6902
06,39248,0639248,Laguna Niguel city,California,0,1990,44400,53.76,76.13,6.950000000000001,21871,22529,39277,604,3359,129,83,40949,3451
06,39486,0639486,Lake Elsinore city,California,0,1990,18285,49.18,66.43,8.469999999999999,9313,8972,14053,706,380,200,39,13528,4757
06,39892,0639892,Lakewood city,California,1,1990,73557,47.38,75.33,12.07,36245,37312,59690,2712,6524,487,360,62794,10763
06,40130,0640130,Lancaster city,California,1,1990,97291,50.760000000000005,70.08,7.88,48695,48596,77225,7207,3453,913,165,82475,14816
06,41992,0641992,Livermore city,California,1,1990,56741,50.93,72.77,7.109999999999999,28275,28466,50721,863,2428,414,182,51154,5587
06,42202,0642202,Lodi city,California,0,1990,51874,45.62,74.82,15.690000000000001,25429,26445,46317,171,2351,472,95,43108,8766
06,43000,0643000,Long Beach city,California,1,1990,429433,52.51,74.51,10.82,216685,212748,250716,58761,53080,2781,5186,328014,101419
06,44000,0644000,Los Angeles city,California,1,1990,3485398,52.65,75.22999999999999,9.98,1750055,1735343,1841182,487674,334374,16379,7433,2093987,1391411
06,44574,0644574,Lynwood city,California,1,1990,61945,52.05,62.480000000000004,5.140000000000001,31272,30673,14844,14652,906,258,467,18380,43565
06,45022,0645022,Madera city,California,0,1990,29281,44.74,66.12,11.559999999999999,14221,15060,16873,1357,449,277,24,13522,15759
06,45484,0645484,Manteca city,California,1,1990,40773,49.19,67.62,8.17,20464,20309,36502,605,1275,477,137,33532,7241
06,46898,0646898,Merced city,California,1,1990,56216,47.13,65.42999999999999,9.0,27764,28452,34675,3860,8447,522,117,39430,16786
06,47766,0647766,Milpitas city,California,1,1990,50686,56.08,73.41,4.8500000000000005,26867,23819,26413,2970,17082,479,490,41252,9434
06,48256,0648256,Mission Viejo city,California,1,1990,72820,50.31,72.33000000000001,7.9,36082,36738,65756,680,4453,228,99,67205,5615
06,48354,0648354,Modesto city,California,1,1990,164730,47.370000000000005,69.83,10.48,79924,84806,132701,4413,12172,1694,829,137810,26920
06,49270,0649270,Moreno Valley city,California,1,1990,118779,51.65,63.09,3.9899999999999998,59157,59622,80116,16402,7261,856,634,91614,27165
06,49670,0649670,Mountain View city,California,1,1990,67460,58.160000000000004,82.25,9.8,34388,33072,49062,3390,9656,391,276,56639,10821
06,50076,0650076,Murrieta CDP,California,1,1990,1628,44.230000000000004,71.00999999999999,13.209999999999999,821,807,1482,13,9,27,0,1348,280
06,50258,0650258,Napa city,California,1,1990,61842,45.56,75.42,14.89,29993,31849,55846,237,1171,474,121,52417,9425
06,51182,0651182,Newport Beach city,California,1,1990,66643,48.449999999999996,86.69,15.479999999999999,32898,33745,63850,230,1861,170,66,63995,2648
06,52526,0652526,Norwalk city,California,1,1990,94279,49.81,70.17999999999999,8.6,47293,46986,52636,3061,11243,813,459,49161,45118
06,53000,0653000,Oakland city,California,1,1990,372242,50.33,75.13,12.049999999999999,178824,193418,120849,163335,53206,2371,1725,320531,51711
06,53322,0653322,Oceanside city,California,1,1990,128398,48.83,73.78,14.030000000000001,63693,64705,95935,10129,5911,910,1914,99416,28982
06,53896,0653896,Ontario city,California,1,1990,133179,52.33,67.11,6.370000000000001,67101,66078,86056,9724,4617,914,566,77637,55542
06,53980,0653980,Orange city,California,1,1990,110658,52.14,75.64,8.7,55809,54849,91838,1551,8524,596,216,85380,25278
06,54652,0654652,Oxnard city,California,1,1990,142216,50.4,69.28999999999999,7.739999999999999,72729,69487,83428,7464,11334,1092,864,64896,77320
06,55156,0655156,Palmdale city,California,1,1990,68842,51.93,64.74,4.760000000000001,34723,34119,52101,4398,2896,648,134,53688,15154
06,55282,0655282,Palo Alto city,California,0,1990,55900,48.1,82.32000000000001,15.45,27317,28583,47458,1612,5745,150,90,53108,2792
06,56000,0656000,Pasadena city,California,1,1990,131591,51.239999999999995,77.97,13.18,64227,67364,75342,24952,10510,591,168,95679,35912
06,56700,0656700,Perris city,California,1,1990,21460,47.67,65.83,9.62,10612,10848,15119,2788,618,218,95,13756,7704
